day,pressure ,maxtemp,temparature,mintemp,dewpoint,humidity ,cloud ,rainfall,sunshine,         winddirection,windspeed,agriculture_suitability,flood_occurence,intensity,advisory
1,1025.9,19.9,18.3,16.8,13.1,72,49,yes,9.3,80,26.3,76,86,7.79,"High rainfall, consider drainage systems"
2,1022,21.7,18.9,17.2,15.6,81,83,yes,0.6,50,15.3,40,74,5.43,"High rainfall, consider drainage systems"
3,1019.7,20.3,19.3,18,18.4,95,91,yes,0,40,14.2,78,47,5.37,"High rainfall, consider drainage systems"
4,1018.9,22.3,20.6,19.1,18.8,90,88,yes,1,50,16.9,60,25,0.6,"Low rainfall, consider irrigation techniques"
5,1015.9,21.3,20.7,20.2,19.9,95,81,yes,0,40,13.7,81,54,1.24,"Low rainfall, consider irrigation techniques"
6,1018.8,24.3,20.9,19.2,18,84,51,yes,7.7,20,14.5,35,93,1.84,"Moderate rainfall, suitable for most crops"
7,1021.8,21.4,18.8,17,15,79,56,no,3.4,30,21.5,76,60,0.54,"Low rainfall, consider irrigation techniques"
8,1020.8,21,18.4,16.5,14.4,78,28,no,7.7,60,14.3,85,94,2.36,"Moderate rainfall, suitable for most crops"
9,1020.6,18.9,18.1,17.1,14.3,78,79,no,3.3,70,39.3,68,11,7.79,"High rainfall, consider drainage systems"
10,1017.5,18.5,18,17.2,15.5,85,91,yes,0,70,37.7,68,23,3.58,"Moderate rainfall, suitable for most crops"
11,1016.5,20.4,18.1,16.5,16.4,90,90,yes,2.1,40,23.3,74,8,6.63,"High rainfall, consider drainage systems"
12,1019.9,18.5,17.3,16.1,13.7,79,86,no,0.6,20,23.9,99,79,6.56,"High rainfall, consider drainage systems"
13,1020.8,18.7,16.1,14.2,12.1,77,34,no,9.1,30,24.4,90,91,2.92,"Moderate rainfall, suitable for most crops"
14,1019.3,17.5,16.5,15.6,12.9,79,81,yes,1.5,60,33.2,99,19,1.56,"Moderate rainfall, suitable for most crops"
15,1015.4,16.1,15.1,14.5,14.6,97,97,yes,0,50,37.5,46,8,7.86,"High rainfall, consider drainage systems"
16,1013.5,17.1,16.4,15.5,15.6,95,93,yes,0,60,40,28,38,5.4,"High rainfall, consider drainage systems"
17,1011.5,20.6,17.8,14.8,16.1,90,79,yes,1.6,20,23.4,79,68,6.57,"High rainfall, consider drainage systems"
18,1017.1,17.8,15.2,11.9,11.1,76,49,no,3.9,50,28.4,37,25,0.68,"Low rainfall, consider irrigation techniques"
19,1020.1,17.6,16.4,15.3,12.5,78,84,no,1,60,38,95,93,0.95,"Low rainfall, consider irrigation techniques"
20,1019.6,16.8,15.5,14.8,13.9,90,92,yes,0,70,50.6,35,56,0.22,"Low rainfall, consider irrigation techniques"
21,1017.7,17.1,16.1,15.1,15.3,95,100,yes,0,50,26.2,49,60,2.34,"Moderate rainfall, suitable for most crops"
22,1018.9,16.2,14.1,10.3,12.9,92,100,yes,0,50,35.3,57,15,1.97,"Moderate rainfall, suitable for most crops"
23,1027.1,10.4,8.5,7,3.4,70,95,yes,0,20,55.5,49,1,1.4,"Low rainfall, consider irrigation techniques"
24,1034.6,7.1,4.9,3.1,2.2,61,96,yes,0,20,59.5,54,39,6.91,"High rainfall, consider drainage systems"
25,1032.6,10.8,7.4,4.3,3.7,46,25,no,10.1,20,28.7,90,39,3.81,"Moderate rainfall, suitable for most crops"
26,1027.1,13.5,10.4,8.1,2.5,59,85,yes,0.4,20,21.3,81,87,0.48,"Low rainfall, consider irrigation techniques"
27,1022.7,15.3,13,9.8,11.6,92,95,yes,0.2,20,29.6,40,86,7.99,"High rainfall, consider drainage systems"
28,1018.2,17.4,16.1,14.8,15.7,98,100,yes,0,60,28.8,80,26,2.31,"Moderate rainfall, suitable for most crops"
29,1017.9,17.4,16.6,15.9,15.9,96,91,yes,0.2,50,25,88,36,0.86,"Low rainfall, consider irrigation techniques"
30,1020,19.9,17.6,16.2,15.5,88,80,no,3.3,50,21.2,50,31,1.58,"Moderate rainfall, suitable for most crops"
31,1019.9,16.2,15.7,15.3,13.4,86,93,yes,0.1,70,43.1,52,55,4.24,"High rainfall, consider drainage systems"
1,1022.2,15.6,12.4,10.7,11.2,93,96,yes,0,20,31.9,53,65,1.88,"Moderate rainfall, suitable for most crops"
2,1024.4,11.2,10.4,9.4,6.8,79,94,yes,0,10,27.3,90,19,4.96,"High rainfall, consider drainage systems"
3,1023.6,14.3,12.5,10.3,8.6,77,88,yes,0.3,40,21.3,92,7,3.31,"Moderate rainfall, suitable for most crops"
4,1021.8,18.8,15.2,13.3,10.9,76,45,no,9.2,40,9.1,35,96,3.76,"Moderate rainfall, suitable for most crops"
5,1021.2,18.6,14.8,12.3,8.4,66,18,no,10.1,20,24.4,92,38,6.6,"High rainfall, consider drainage systems"
6,1024.9,17.4,13.6,11.2,0.3,39,13,no,10.2,20,44.7,38,82,0.63,"Low rainfall, consider irrigation techniques"
7,1026.1,18.1,13.7,9.9,1.7,36,2,no,10.2,20,20.5,69,72,5.18,"High rainfall, consider drainage systems"
8,1023.9,19.6,14.8,11.6,4.3,52,0,no,10.2,40,16.7,31,100,4.24,"High rainfall, consider drainage systems"
9,1020.8,21.2,16.7,12.7,7.2,54,29,no,10.2,40,17.2,54,46,7.93,"High rainfall, consider drainage systems"
10,1017.5,17.3,16.6,15.3,9.8,64,77,yes,0.1,40,22,43,56,7.17,"High rainfall, consider drainage systems"
11,1014.9,22.4,18.8,17.2,16.4,86,80,yes,2.4,40,15.8,51,72,0.65,"Low rainfall, consider irrigation techniques"
12,1013.4,21.6,19.2,17.6,18.5,95,86,yes,0.6,30,13.9,70,84,0.9,"Low rainfall, consider irrigation techniques"
13,1012.5,25.9,23.1,21.3,21.1,89,76,no,3.5,200,10.2,43,90,7.34,"High rainfall, consider drainage systems"
14,1014.8,24.6,21.7,17.4,18.1,81,82,yes,3.9,20,15.3,42,35,2.47,"Moderate rainfall, suitable for most crops"
15,1024.3,17.5,13.2,11.4,6.6,64,88,yes,0,20,33.5,72,43,2.44,"Moderate rainfall, suitable for most crops"
16,1025.4,15.1,12.8,10.9,6,63,89,no,0.7,20,23.5,65,91,4.42,"High rainfall, consider drainage systems"
17,1024.1,14.4,12.9,11.6,8.9,77,91,yes,1.7,20,19.2,49,55,3.17,"Moderate rainfall, suitable for most crops"
18,1021.9,15,13.7,11.7,11.8,89,95,yes,2.7,40,18.6,25,54,7.9,"High rainfall, consider drainage systems"
19,1020.3,16.3,15.3,14.6,13.3,88,94,yes,3,40,22.2,51,90,6.72,"High rainfall, consider drainage systems"
20,1023.2,20.1,16,12.5,9.6,67,55,yes,5.9,20,23.9,77,99,5.92,"High rainfall, consider drainage systems"
21,1022.2,15.9,15,14.7,11,77,82,yes,6.9,70,44.7,45,22,0.64,"Low rainfall, consider irrigation techniques"
22,1020.6,17.6,16.1,14.6,14.7,91,88,yes,7.9,50,24.4,80,59,1.84,"Moderate rainfall, suitable for most crops"
23,1022.3,16.7,15.5,13.7,14.3,92,88,yes,8.9,20,19.3,66,54,0.25,"Low rainfall, consider irrigation techniques"
24,1027.5,15.5,13.7,12.3,10,78,88,yes,9.9,20,28,46,80,6.22,"High rainfall, consider drainage systems"
25,1028.9,16.8,14.8,13.5,10.5,76,87,no,10.9,20,20.4,94,40,7.85,"High rainfall, consider drainage systems"
26,1027.4,17.6,15.2,14,11.6,79,88,yes,11.9,30,15.2,74,31,6.46,"High rainfall, consider drainage systems"
27,1024.7,17.5,15.5,13.8,11.7,79,79,yes,12.9,20,9.1,40,44,6.95,"High rainfall, consider drainage systems"
28,1023.8,20.9,16.6,13.3,11.5,72,49,no,13.9,20,9.2,40,87,2.37,"Moderate rainfall, suitable for most crops"
29,1024.4,24.8,18.5,14.4,10.1,61,19,no,14.9,40,16.9,68,58,4.03,"High rainfall, consider drainage systems"
1,1024.7,19.7,16.5,14.6,11.5,73,43,no,15.9,70,34.2,49,29,4.29,"High rainfall, consider drainage systems"
2,1023.8,20.6,16.6,14.4,11.4,72,32,no,16.9,60,27.1,80,14,3.48,"Moderate rainfall, suitable for most crops"
3,1020.9,23.8,18.7,15.4,14,75,46,no,17.9,40,14.7,27,12,1.83,"Moderate rainfall, suitable for most crops"
4,1018.1,23.2,20.2,18.1,16.9,82,71,no,18.9,40,15.4,69,95,7.85,"High rainfall, consider drainage systems"
5,1016.7,23.1,20.8,19.2,16.9,79,83,yes,19.9,30,13.3,71,87,5.14,"High rainfall, consider drainage systems"
6,1015.8,25.9,21.8,19.2,18,79,72,no,20.9,220,6.6,57,91,1.01,"Low rainfall, consider irrigation techniques"
7,1014.9,21.3,19.7,18.9,18.2,91,76,yes,21.9,40,13.8,51,50,3.33,"Moderate rainfall, suitable for most crops"
8,1012.5,21.5,20.1,18.9,18.9,93,88,no,22.9,40,15.3,35,12,1.73,"Moderate rainfall, suitable for most crops"
9,1012.5,22.9,20.8,17.1,19.9,95,88,yes,23.9,50,15.1,67,52,7.96,"High rainfall, consider drainage systems"
10,1019.5,17.2,13.4,10,12.2,93,93,yes,24.9,20,39.7,49,66,0.65,"Low rainfall, consider irrigation techniques"
11,1022.6,14.3,11.9,10,8,77,93,yes,25.9,20,25,81,35,4.04,"High rainfall, consider drainage systems"
12,1017.7,14.5,13.6,12.7,11.4,87,100,yes,26.9,50,36,45,58,4.95,"High rainfall, consider drainage systems"
13,1014.5,17,15.8,14.4,15.1,96,99,yes,27.9,50,22.8,97,13,5.18,"High rainfall, consider drainage systems"
14,1018,16.5,15.3,14.2,12.4,83,89,yes,28.9,20,26.7,32,64,3.78,"Moderate rainfall, suitable for most crops"
15,1017.1,15.5,14.8,14,11.1,79,94,yes,29.9,70,38,25,89,0.94,"Low rainfall, consider irrigation techniques"
16,1015,16.3,15.3,14.1,13.6,90,100,yes,30.9,60,33.2,57,90,6.96,"High rainfall, consider drainage systems"
17,1014.3,17.4,16.5,15.6,16,97,97,yes,31.9,50,26.5,29,26,7.39,"High rainfall, consider drainage systems"
18,1012,21.9,19.5,17.2,19,97,92,yes,32.9,30,13.1,89,73,2.61,"Moderate rainfall, suitable for most crops"
19,1013,24.9,22.4,20.3,21.4,94,85,yes,33.9,40,12.5,92,79,2.55,"Moderate rainfall, suitable for most crops"
20,1014.7,23.1,19,17.6,17.4,91,96,yes,34.9,50,28,56,41,1.75,"Moderate rainfall, suitable for most crops"
21,1014.8,18.2,17.1,16.4,16.3,95,95,yes,35.9,60,38.3,94,53,0.66,"Low rainfall, consider irrigation techniques"
22,1013.4,17.3,16.6,15.9,16,96,100,yes,36.9,50,33.5,65,47,2.48,"Moderate rainfall, suitable for most crops"
23,1012.8,20.6,18.4,17.1,18,97,95,yes,37.9,40,22,94,86,1.84,"Moderate rainfall, suitable for most crops"
24,1020.2,17.7,15.3,12.7,14.9,98,99,yes,38.9,70,42,31,72,1.09,"Low rainfall, consider irrigation techniques"
25,1023.9,15.7,13.7,11.6,9.2,75,88,yes,39.9,20,19.4,45,55,5.2,"High rainfall, consider drainage systems"
26,1023.6,20.2,15.8,12.6,9.8,68,22,no,40.9,70,13.4,60,83,5.58,"High rainfall, consider drainage systems"
27,1024.1,22.4,17.3,14.6,8.4,58,19,no,41.9,30,14.6,45,24,6.26,"High rainfall, consider drainage systems"
28,1024.1,19.9,16.9,15.2,10,65,58,no,42.9,60,26.9,38,28,4.14,"High rainfall, consider drainage systems"
29,1021.4,19.4,17.7,15.7,9.6,59,74,yes,43.9,50,20.5,92,75,4.44,"High rainfall, consider drainage systems"
30,1018.3,22.2,20,18.4,16.3,79,89,yes,44.9,40,14.8,75,6,2.19,"Moderate rainfall, suitable for most crops"
31,1015.3,25.5,21.5,19.1,18.9,86,83,no,45.9,50,4.5,41,14,4.02,"High rainfall, consider drainage systems"
1,1014.5,25.3,21.9,19.9,19.5,86,83,no,46.9,50,8.3,41,11,0.24,"Low rainfall, consider irrigation techniques"
2,1015.6,23.8,21.3,19.8,19.6,90,81,yes,47.9,40,14.5,48,58,6.36,"High rainfall, consider drainage systems"
3,1014.6,26.5,23,21,20.7,87,88,no,48.9,50,9.2,55,37,7.11,"High rainfall, consider drainage systems"
4,1012.5,28.1,23.6,20.7,21.4,88,84,yes,49.9,120,8,67,5,7.31,"High rainfall, consider drainage systems"
5,1013.3,24.4,22.3,20.7,20.8,91,78,yes,50.9,40,14.8,29,27,6.53,"High rainfall, consider drainage systems"
6,1013.3,26.5,23.1,21.5,21.6,91,83,no,51.9,70,20,74,58,0.17,"Low rainfall, consider irrigation techniques"
7,1013.2,26.9,23.9,22.4,22.3,91,84,no,52.9,40,10,89,24,4.27,"High rainfall, consider drainage systems"
8,1013.3,27.9,25.3,23.2,22.9,87,84,yes,53.9,40,9.1,68,85,4.55,"High rainfall, consider drainage systems"
9,1011.6,27.5,25.7,24.4,23.2,86,88,yes,54.9,200,17.3,42,69,5.52,"High rainfall, consider drainage systems"
10,1009.2,26.3,23.3,21.3,21.9,92,93,yes,55.9,190,20.5,62,82,6.26,"High rainfall, consider drainage systems"
11,1010.1,22.8,21.5,20.1,19.9,91,89,yes,56.9,70,31.8,75,93,0.59,"Low rainfall, consider irrigation techniques"
12,1009.1,21.3,20.3,19.9,19.3,94,88,yes,57.9,70,29.8,90,45,7.32,"High rainfall, consider drainage systems"
13,1005.5,25.1,21.8,20.9,21.6,98,93,yes,58.9,40,14.5,47,19,7.94,"High rainfall, consider drainage systems"
14,1008.5,25.2,23.1,21.6,22.8,98,88,yes,59.9,30,11.2,27,52,6.15,"High rainfall, consider drainage systems"
15,1011.4,23.5,21.1,20.6,20.6,97,88,yes,60.9,30,20,66,55,2.38,"Moderate rainfall, suitable for most crops"
16,1010.5,28.1,24.7,20.6,22.7,89,81,yes,61.9,210,15.3,48,83,0.54,"Low rainfall, consider irrigation techniques"
17,1010.9,27.5,25.9,24.1,24.2,90,86,yes,62.9,190,16,34,35,5.78,"High rainfall, consider drainage systems"
18,1014.4,26.7,23.1,20.1,20.8,87,81,yes,63.9,80,19.6,72,70,2.24,"Moderate rainfall, suitable for most crops"
19,1017.4,21.8,20.5,20.1,18.1,86,88,yes,64.9,70,35.3,32,49,3.59,"Moderate rainfall, suitable for most crops"
20,1014.6,22.9,21.6,20.2,19.5,88,89,yes,65.9,40,20.9,45,58,1.12,"Low rainfall, consider irrigation techniques"
21,1012.5,28.4,24.6,22,22.3,87,80,yes,66.9,30,7.3,86,5,5.56,"High rainfall, consider drainage systems"
22,1010.7,26.1,23.7,21,22,90,81,yes,67.9,300,11.1,56,52,4.53,"High rainfall, consider drainage systems"
23,1008.2,27.7,24.9,22.6,22.8,88,81,yes,68.9,240,13,60,19,3.11,"Moderate rainfall, suitable for most crops"
24,1008.7,26.1,24.4,23.2,23.2,93,84,yes,69.9,190,8.5,55,45,6.61,"High rainfall, consider drainage systems"
25,1009.8,28.4,26,23.9,24.3,90,83,yes,70.9,180,13,50,87,3.17,"Moderate rainfall, suitable for most crops"
26,1009.5,28.5,27.2,26,24.5,86,87,yes,71.9,200,24.2,72,70,7.27,"High rainfall, consider drainage systems"
27,1008.2,29.1,26.8,25.4,24,85,83,yes,72.9,230,20.2,64,68,2.64,"Moderate rainfall, suitable for most crops"
28,1010.4,28.2,26,24.7,23,84,78,yes,73.9,50,12.5,60,0,4.72,"High rainfall, consider drainage systems"
29,1013.9,26.3,24.1,22.9,19.6,76,68,yes,74.9,90,30.5,57,94,5.72,"High rainfall, consider drainage systems"
30,1012.2,23.4,22.5,20.8,18.7,80,89,yes,75.9,60,27,96,50,3.9,"Moderate rainfall, suitable for most crops"
1,1011.5,23.4,22.2,20.4,20.9,92,90,yes,76.9,50,23.7,90,71,4.04,"High rainfall, consider drainage systems"
2,1011,29.8,25.6,22.8,23.6,89,82,yes,77.9,50,11.1,39,67,6,"High rainfall, consider drainage systems"
3,1011.4,30.8,26.5,22.8,23.9,86,84,yes,78.9,220,11.8,42,100,3.23,"Moderate rainfall, suitable for most crops"
4,1011.4,28.2,25.8,23.2,23.4,87,82,yes,79.9,40,9.2,31,23,5.98,"High rainfall, consider drainage systems"
5,1010.5,30.9,28.1,26.2,25.1,84,85,no,80.9,180,15.4,95,12,5.53,"High rainfall, consider drainage systems"
6,1009.9,30.5,28.4,27.2,25.3,83,84,no,81.9,190,15.5,82,40,3.51,"Moderate rainfall, suitable for most crops"
7,1010.6,31,28.7,27.1,25.1,81,69,no,82.9,170,12.1,54,34,2.75,"Moderate rainfall, suitable for most crops"
8,1011.4,31.2,28.7,27.3,25.2,82,80,no,83.9,150,9.5,67,73,3.64,"Moderate rainfall, suitable for most crops"
9,1010.1,30.6,28.7,26.9,25,81,69,no,84.9,170,16.3,33,43,4.9,"High rainfall, consider drainage systems"
10,1008.1,28.4,26.6,23.7,24.3,87,84,yes,85.9,220,12,57,12,6.24,"High rainfall, consider drainage systems"
11,1008.6,28.8,25.5,23.4,20.6,75,62,no,86.9,80,26,90,85,7.9,"High rainfall, consider drainage systems"
12,1009.8,27.6,25.1,23.7,21.4,80,78,yes,87.9,70,28.6,47,23,6.99,"High rainfall, consider drainage systems"
13,1012.4,27.8,25.5,24.4,22.2,82,88,yes,88.9,50,24.9,55,52,4.81,"High rainfall, consider drainage systems"
14,1014.2,27.7,25.4,24,23.4,89,86,yes,89.9,70,28.3,91,6,6.54,"High rainfall, consider drainage systems"
15,1012.1,29.8,26.6,24.4,23.7,85,75,yes,90.9,50,15.7,33,17,6.88,"High rainfall, consider drainage systems"
16,1011.2,27.1,24.8,22.5,19.4,73,69,yes,91.9,10,21.9,38,65,1.59,"Moderate rainfall, suitable for most crops"
17,1012.3,24.6,23.7,23.2,20.1,80,86,yes,92.9,80,39.5,78,81,0.81,"Low rainfall, consider irrigation techniques"
18,1012,26.3,24.5,23.4,19.9,76,79,no,93.9,70,30.3,46,45,2.46,"Moderate rainfall, suitable for most crops"
19,1009.9,28.1,25.5,24,22.5,84,85,yes,94.9,70,26.4,32,8,1.57,"Moderate rainfall, suitable for most crops"
20,1006.9,26.2,25.2,24.3,24.2,94,88,yes,95.9,40,22.3,88,92,5.68,"High rainfall, consider drainage systems"
21,1005.9,28.3,26.5,24.7,24.3,88,77,yes,96.9,230,25.9,60,18,2.79,"Moderate rainfall, suitable for most crops"
22,1007.8,30.8,27.2,25.3,22.7,77,63,no,97.9,20,11.3,80,91,5.53,"High rainfall, consider drainage systems"
23,1008.4,28.9,26.8,24.8,23.2,81,65,yes,98.9,20,7.9,63,61,0.59,"Low rainfall, consider irrigation techniques"
24,1007.9,30.7,27.5,25.4,24.1,82,61,yes,99.9,180,7.4,34,45,0.39,"Low rainfall, consider irrigation techniques"
25,1007.8,30.9,28,26.2,24.7,82,62,yes,100.9,100,16.2,85,78,1.43,"Low rainfall, consider irrigation techniques"
26,1007.6,29.5,27.6,26.7,24.8,85,84,yes,101.9,70,34.8,82,82,4.89,"High rainfall, consider drainage systems"
27,1006.4,29.1,27.5,26,25.5,89,88,yes,102.9,130,32.5,59,14,3.38,"Moderate rainfall, suitable for most crops"
28,1007.6,30.3,27.7,24.5,25.6,89,89,yes,103.9,200,24,46,2,4.24,"High rainfall, consider drainage systems"
29,1007.9,31,29.1,27.2,26.1,84,77,yes,104.9,210,19,76,57,0.54,"Low rainfall, consider irrigation techniques"
30,1008.8,32.1,29.8,28,26,80,73,yes,105.9,220,22.8,93,27,6.89,"High rainfall, consider drainage systems"
31,1009.5,31.8,29.9,28.7,25.7,79,72,no,106.9,220,25.2,93,49,1.37,"Low rainfall, consider irrigation techniques"
1,1007.8,32.8,30.1,28.6,26.2,80,73,no,107.9,230,31.7,63,96,7.54,"High rainfall, consider drainage systems"
2,1006,33,30.3,28.7,26.3,79,58,no,108.9,230,27.4,58,65,2.05,"Moderate rainfall, suitable for most crops"
3,1006.5,32.4,30.3,29,26.5,80,77,yes,109.9,220,28.8,89,16,4.1,"High rainfall, consider drainage systems"
4,1007.9,33.8,28.7,24.7,25.4,83,75,yes,110.9,220,20.8,99,38,4.38,"High rainfall, consider drainage systems"
5,1008.8,30.4,26.9,25,24.3,86,87,yes,111.9,20,9.8,95,93,1.63,"Moderate rainfall, suitable for most crops"
6,1008.8,29.1,26.2,24.8,24.7,91,80,yes,112.9,20,11.2,72,33,7.13,"High rainfall, consider drainage systems"
7,1008.1,30.7,28.1,26.3,25.4,86,75,yes,113.9,20,9.5,59,32,5.25,"High rainfall, consider drainage systems"
8,1006.3,30,27.1,24.1,25.1,89,85,yes,114.9,190,12.6,85,45,5.78,"High rainfall, consider drainage systems"
9,1005.7,31.7,28.2,26.6,25.7,86,79,yes,115.9,20,30,81,37,6.44,"High rainfall, consider drainage systems"
10,1005.7,31.1,27.9,26.6,25.8,89,80,yes,116.9,220,14.6,50,52,5.1,"High rainfall, consider drainage systems"
11,1005.9,27.8,26.6,25.4,25.4,93,85,yes,117.9,230,20,41,67,5.67,"High rainfall, consider drainage systems"
12,1005.7,29.2,27.1,25.4,25.8,93,96,yes,118.9,220,29.8,28,31,4.45,"High rainfall, consider drainage systems"
13,1005,31.5,29.7,28.5,26.7,84,90,yes,119.9,220,24.3,81,89,6.29,"High rainfall, consider drainage systems"
14,1004.2,31.7,30.2,29.2,26.6,81,88,yes,120.9,220,30,75,30,6.23,"High rainfall, consider drainage systems"
15,1005.3,32,30.3,29.3,26.3,79,86,yes,121.9,210,29.3,81,86,1.56,"Moderate rainfall, suitable for most crops"
16,1006.7,31.4,29.4,28.2,25.9,82,88,yes,122.9,230,23.2,65,99,2.83,"Moderate rainfall, suitable for most crops"
17,1008.2,32.1,29.4,26.7,25.9,82,85,yes,123.9,220,12.8,82,74,2.43,"Moderate rainfall, suitable for most crops"
18,1010.5,30.8,29.3,27.7,26,83,81,yes,124.9,200,19.8,81,38,1.01,"Low rainfall, consider irrigation techniques"
19,1010.3,34.2,30.1,27.8,26.1,80,41,no,125.9,130,12.4,25,31,1.71,"Moderate rainfall, suitable for most crops"
20,1008.5,34.4,30.8,28.6,26.3,78,59,yes,126.9,170,12.1,89,10,6.92,"High rainfall, consider drainage systems"
21,1009.3,33.7,30.6,28.7,25.6,75,51,no,127.9,200,12.6,65,68,3.54,"Moderate rainfall, suitable for most crops"
22,1009.5,33.7,30.5,28.5,25.3,75,32,no,128.9,220,10.9,51,43,3.57,"Moderate rainfall, suitable for most crops"
23,1008.4,34.1,30.4,28.4,24.7,72,20,no,129.9,210,9.6,63,47,1.25,"Low rainfall, consider irrigation techniques"
24,1008.1,35.2,31,28.8,25,72,38,no,130.9,180,9,63,64,0.3,"Low rainfall, consider irrigation techniques"
25,1008.9,35.5,31.4,28.9,26.1,74,39,no,131.9,150,9.1,87,40,6.76,"High rainfall, consider drainage systems"
26,1009.1,35.1,31.3,29.4,26.3,75,57,yes,132.9,160,11.9,89,89,2.77,"Moderate rainfall, suitable for most crops"
27,1007.5,35.1,31.1,28.6,26.7,78,61,yes,133.9,60,15.7,51,59,0.09,"Low rainfall, consider irrigation techniques"
28,1007.5,32.3,29.1,26.3,26.3,85,83,yes,134.9,220,26.1,89,95,2.53,"Moderate rainfall, suitable for most crops"
29,1010,33.3,29,27.5,26.7,87,79,yes,135.9,160,23.4,66,18,5.38,"High rainfall, consider drainage systems"
30,1010.3,33.1,30,27.8,26,80,83,yes,136.9,190,24.4,95,28,5.33,"High rainfall, consider drainage systems"
1,1008.9,33,30.1,27.7,26,79,78,yes,137.9,190,21.9,76,94,0.89,"Low rainfall, consider irrigation techniques"
